n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
7   | 0.580      | 878.3405       | 796.2858       | 0.9066         | True
8   | 1.520      | 152058.3857    | 49679.5400     | 0.3267         | True
9   | 0.870      | 12167.5743     | 6504.6619      | 0.5346         | True
10  | 0.750      | 6313.6710      | 5503.2441      | 0.8716         | True
11  | 0.550      | 2133.6450      | 1975.4826      | 0.9259         | True
12  | 0.580      | 4072.9720      | 3779.5387      | 0.9280         | True
13  | 0.730      | 9189.1088      | 5574.2595      | 0.6066         | True
14  | 0.740      | 17354.7125     | 11436.5608     | 0.6590         | True
15  | 0.600      | 10164.9159     | 11494.5470     | 1.1308         | False
16  | 0.680      | 18204.2323     | 15341.6293     | 0.8428         | True
17  | 0.650      | 23093.0290     | 16696.2894     | 0.7230         | True
18  | 0.850      | 59733.9937     | 46142.5301     | 0.7725         | True
19  | 0.520      | 9169.0437      | 9106.4942      | 0.9932         | True
20  | 0.530      | 8891.2628      | 8934.2860      | 1.0048         | False
21  | 0.290      | 1303.7080      | 1722.5864      | 1.3213         | False
22  | 0.510      | 9179.3416      | 9400.4710      | 1.0241         | False
23  | 0.450      | 6716.4548      | 6539.1082      | 0.9736         | True
24  | 0.280      | 1949.2927      | 2438.1342      | 1.2508         | False
25  | 0.640      | 42552.9136     | 41346.5756     | 0.9717         | True
26  | 0.540      | 21711.9077     | 24423.7472     | 1.1249         | False
27  | 0.420      | 9010.2470      | 9159.5810      | 1.0166         | False
28  | 0.270      | 1835.3915      | 2761.1710      | 1.5044         | False
29  | 0.460      | 11825.3158     | 12625.0829     | 1.0676         | False
30  | 0.530      | 32450.6883     | 24743.9121     | 0.7625         | True
31  | 0.580      | 44637.5189     | 48878.2399     | 1.0950         | False
32  | 0.510      | 26760.8594     | 30018.5050     | 1.1217         | False
33  | 0.460      | 16080.2226     | 19448.2608     | 1.2095         | False
34  | 0.500      | 25867.8132     | 23688.5985     | 0.9158         | True
35  | 0.490      | 21590.0340     | 24128.1549     | 1.1176         | False
36  | 0.510      | 32559.7782     | 37978.4694     | 1.1664         | False
37  | 0.420      | 13841.4986     | 16834.5983     | 1.2162         | False
38  | 0.360      | 10722.6061     | 13599.4289     | 1.2683         | False
39  | 0.540      | 53234.9802     | 52509.6393     | 0.9864         | True
40  | 0.520      | 46253.4850     | 49872.0634     | 1.0782         | False
41  | 0.400      | 15940.6500     | 19025.6147     | 1.1935         | False
42  | 0.440      | 29266.6921     | 35837.1129     | 1.2245         | False
43  | 0.460      | 35118.1013     | 39907.2127     | 1.1364         | False
44  | 0.510      | 52066.4237     | 50105.2526     | 0.9623         | True
45  | 0.490      | 49227.7331     | 59390.5315     | 1.2064         | False
46  | 0.500      | 46908.7191     | 51327.2248     | 1.0942         | False
47  | 0.380      | 19069.1369     | 24106.6496     | 1.2642         | False
48  | 0.480      | 55453.2379     | 51013.7886     | 0.9199         | True
49  | 0.440      | 38455.3145     | 44676.3580     | 1.1618         | False
50  | 0.440      | 36080.5928     | 50705.7846     | 1.4053         | False
51  | 0.370      | 18607.2640     | 23789.4671     | 1.2785         | False
52  | 0.430      | 35739.5891     | 43289.0936     | 1.2112         | False
53  | 0.480      | 58264.6821     | 64877.1373     | 1.1135         | False
54  | 0.360      | 21111.0787     | 27283.0475     | 1.2924         | False
55  | 0.380      | 23394.5741     | 31626.3943     | 1.3519         | False
56  | 0.380      | 29566.9925     | 38950.1476     | 1.3174         | False
57  | 0.460      | 64006.5391     | 61921.1800     | 0.9674         | True
58  | 0.390      | 32968.8752     | 43517.7886     | 1.3200         | False
59  | 0.440      | 52218.2008     | 73304.7053     | 1.4038         | False
60  | 0.430      | 53223.4935     | 53399.8592     | 1.0033         | False
61  | 0.400      | 36152.2851     | 41330.1776     | 1.1432         | False
62  | 0.380      | 33226.8026     | 50609.4327     | 1.5232         | False
63  | 0.430      | 52850.9392     | 70877.2790     | 1.3411         | False
64  | 0.450      | 67060.6396     | 79367.9568     | 1.1835         | False
65  | 0.410      | 45838.5647     | 59416.8581     | 1.2962         | False
66  | 0.380      | 39898.8297     | 56214.1015     | 1.4089         | False
67  | 0.460      | 84691.8825     | 96381.9269     | 1.1380         | False
68  | 0.480      | 91021.1283     | 106704.7376    | 1.1723         | False
69  | 0.420      | 59446.2342     | 73068.1820     | 1.2291         | False
70  | 0.310      | 18567.0499     | 27360.1409     | 1.4736         | False
71  | 0.350      | 28446.2016     | 36382.3174     | 1.2790         | False
72  | 0.370      | 35861.4909     | 54781.3193     | 1.5276         | False
73  | 0.360      | 34551.5658     | 47617.0336     | 1.3781         | False
74  | 0.490      | 140068.6746    | 163590.1296    | 1.1679         | False
75  | 0.540      | 246825.5356    | 234774.0378    | 0.9512         | True
76  | 0.380      | 44180.6002     | 55846.5894     | 1.2641         | False
77  | 0.300      | 18821.1544     | 28556.9340     | 1.5173         | False
78  | 0.290      | 17499.8734     | 27352.2416     | 1.5630         | False
79  | 0.320      | 25981.3264     | 35962.7411     | 1.3842         | False
80  | 0.320      | 25982.1643     | 36372.9976     | 1.3999         | False
81  | 0.390      | 66022.0524     | 81218.2758     | 1.2302         | False
82  | 0.440      | 132611.5104    | 176867.8224    | 1.3337         | False
83  | 0.430      | 89617.3808     | 126266.0241    | 1.4089         | False
84  | 0.310      | 24772.5429     | 38356.3513     | 1.5483         | False
85  | 0.290      | 19673.3965     | 32008.1885     | 1.6270         | False
86  | 0.480      | 200188.6432    | 199740.3728    | 0.9978         | True
87  | 0.350      | 41524.0807     | 58370.1152     | 1.4057         | False
88  | 0.470      | 183461.4424    | 212306.9624    | 1.1572         | False
89  | 0.320      | 33649.0906     | 48406.2934     | 1.4386         | False
90  | 0.320      | 31414.0190     | 49598.3584     | 1.5789         | False
91  | 0.370      | 57510.5436     | 76848.9123     | 1.3363         | False
92  | 0.340      | 43541.2687     | 55804.6571     | 1.2816         | False
93  | 0.400      | 90911.9626     | 119516.0314    | 1.3146         | False
94  | 0.350      | 48262.7037     | 65767.7732     | 1.3627         | False
95  | 0.400      | 97867.5652     | 123059.4334    | 1.2574         | False
96  | 0.360      | 60211.9768     | 78652.0489     | 1.3063         | False
97  | 0.380      | 68459.3262     | 94356.0805     | 1.3783         | False
98  | 0.400      | 105140.1461    | 149684.2495    | 1.4237         | False
99  | 0.340      | 52848.6424     | 72293.5798     | 1.3679         | False
100 | 0.310      | 38166.3053     | 55886.5713     | 1.4643         | False
101 | 0.390      | 101554.9792    | 144242.9173    | 1.4203         | False
102 | 0.330      | 49717.5983     | 78431.7196     | 1.5775         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=7)
--------------------------------------------------------------------------------
2   | 2.000      | 12967.0803     | 4103.1703      | 0.3164         | True
3   | 1.620      | 33970.2913     | 5509.3130      | 0.1622         | True
4   | 0.970      | 1590.7994      | 558.3675       | 0.3510         | True
5   | 0.680      | 1816.1455      | 990.7765       | 0.5455         | True
6   | 1.120      | 24833.5837     | 12561.9964     | 0.5058         | True
7   | 0.590      | 2025.5475      | 1821.3441      | 0.8992         | True
8   | 1.660      | 1614211.2307   | 363328.3237    | 0.2251         | True
9   | 0.950      | 71611.5268     | 32794.0693     | 0.4579         | True
10  | 0.790      | 24285.8582     | 20478.8268     | 0.8432         | True
11  | 0.570      | 5916.7902      | 5356.8800      | 0.9054         | True
12  | 0.650      | 19569.8352     | 17196.9179     | 0.8787         | True
13  | 0.790      | 42977.5320     | 21358.1376     | 0.4970         | True
14  | 0.770      | 75932.5962     | 43545.3927     | 0.5735         | True
15  | 0.630      | 41511.5725     | 46497.7592     | 1.1201         | False
16  | 0.650      | 51781.3444     | 43326.8025     | 0.8367         | True
17  | 0.720      | 146388.8625    | 93671.4126     | 0.6399         | True
18  | 0.980      | 573356.5740    | 359002.3388    | 0.6261         | True
19  | 0.530      | 30842.5504     | 29977.8028     | 0.9720         | True
20  | 0.530      | 25050.7498     | 24333.6020     | 0.9714         | True
21  | 0.230      | 1232.4202      | 1635.1298      | 1.3268         | False
22  | 0.500      | 23136.6726     | 23445.2030     | 1.0133         | False
23  | 0.470      | 22114.6913     | 20520.7736     | 0.9279         | True
24  | 0.220      | 1812.0779      | 2277.7286      | 1.2570         | False
25  | 0.680      | 222707.9574    | 209679.0338    | 0.9415         | True
26  | 0.570      | 96902.0271     | 103965.6799    | 1.0729         | False
27  | 0.380      | 16641.1932     | 16862.2750     | 1.0133         | False
28  | 0.210      | 1623.0003      | 2446.5993      | 1.5075         | False
29  | 0.470      | 37787.2313     | 38669.1888     | 1.0233         | False
30  | 0.580      | 190404.4489    | 129705.2045    | 0.6812         | True
31  | 0.630      | 252092.4660    | 265198.4716    | 1.0520         | False
32  | 0.540      | 124283.6600    | 134546.6952    | 1.0826         | False
33  | 0.490      | 64583.3398     | 75446.5242     | 1.1682         | False
34  | 0.530      | 111903.6101    | 90298.7847     | 0.8069         | True
35  | 0.520      | 86127.4734     | 90408.7081     | 1.0497         | False
36  | 0.550      | 159829.9383    | 181468.5705    | 1.1354         | False
37  | 0.440      | 47775.1375     | 55239.9241     | 1.1562         | False
38  | 0.290      | 11826.3872     | 15062.6041     | 1.2736         | False
39  | 0.540      | 195477.3965    | 186355.9275    | 0.9533         | True
40  | 0.540      | 194835.7486    | 202067.1466    | 1.0371         | False
41  | 0.420      | 56943.1530     | 64671.1156     | 1.1357         | False
42  | 0.460      | 119493.8734    | 139272.2968    | 1.1655         | False
43  | 0.480      | 147172.2630    | 160797.9651    | 1.0926         | False
44  | 0.550      | 280389.6954    | 237399.9960    | 0.8467         | True
45  | 0.520      | 240394.1619    | 271742.9074    | 1.1304         | False
46  | 0.530      | 219298.4584    | 223980.0840    | 1.0213         | False
47  | 0.280      | 15239.0000     | 19458.8991     | 1.2769         | False
48  | 0.500      | 255867.7455    | 203458.7811    | 0.7952         | True
49  | 0.470      | 188324.5486    | 210913.3254    | 1.1199         | False
50  | 0.470      | 157735.9745    | 214774.0627    | 1.3616         | False
51  | 0.390      | 68287.9252     | 84226.2271     | 1.2334         | False
52  | 0.470      | 181671.2970    | 208582.8338    | 1.1481         | False
53  | 0.490      | 223311.4077    | 238651.9634    | 1.0687         | False
54  | 0.360      | 63554.5642     | 80588.3439     | 1.2680         | False
55  | 0.410      | 98782.9178     | 125818.0253    | 1.2737         | False
56  | 0.400      | 122188.6575    | 156705.5146    | 1.2825         | False
57  | 0.490      | 340874.0896    | 288578.3574    | 0.8466         | True
58  | 0.410      | 135662.9801    | 176041.8392    | 1.2976         | False
59  | 0.480      | 276616.6089    | 369861.8671    | 1.3371         | False
60  | 0.450      | 234530.0491    | 214705.2356    | 0.9155         | True
61  | 0.410      | 129145.5352    | 138469.9024    | 1.0722         | False
62  | 0.410      | 149079.3769    | 220122.6309    | 1.4765         | False
63  | 0.460      | 254183.6042    | 327703.2032    | 1.2892         | False
64  | 0.470      | 292779.4820    | 330236.9457    | 1.1279         | False
65  | 0.440      | 211196.3041    | 254914.8758    | 1.2070         | False
66  | 0.400      | 169778.6535    | 232704.4217    | 1.3706         | False
67  | 0.500      | 488664.8236    | 512308.1944    | 1.0484         | False
68  | 0.530      | 570392.4575    | 594074.5770    | 1.0415         | False
69  | 0.440      | 254906.7298    | 300461.6081    | 1.1787         | False
70  | 0.290      | 37517.8565     | 54791.8002     | 1.4604         | False
71  | 0.350      | 80622.4864     | 100026.4389    | 1.2407         | False
72  | 0.410      | 177981.7455    | 261595.8118    | 1.4698         | False
73  | 0.370      | 117365.3919    | 157112.4430    | 1.3387         | False
74  | 0.530      | 877108.8966    | 932833.6870    | 1.0635         | False
75  | 0.610      | 2234539.4490   | 1769048.3037   | 0.7917         | True
76  | 0.400      | 176300.7057    | 211748.6905    | 1.2011         | False
77  | 0.310      | 57381.7845     | 84749.6576     | 1.4769         | False
78  | 0.270      | 34216.5798     | 53153.8065     | 1.5535         | False
79  | 0.320      | 71461.2368     | 95551.0749     | 1.3371         | False
80  | 0.330      | 84705.7457     | 112042.8646    | 1.3227         | False
81  | 0.420      | 329660.0910    | 366995.5852    | 1.1133         | False
82  | 0.490      | 997571.1936    | 1243122.5331   | 1.2461         | False
83  | 0.490      | 628181.1234    | 803188.3034    | 1.2786         | False
84  | 0.330      | 89737.4740     | 135991.8530    | 1.5154         | False
85  | 0.280      | 44188.9838     | 71523.7801     | 1.6186         | False
86  | 0.510      | 1201762.0672   | 1015147.8569   | 0.8447         | True
87  | 0.380      | 187391.7085    | 249848.8613    | 1.3333         | False
88  | 0.510      | 1156673.6694   | 1254465.2987   | 1.0845         | False
89  | 0.320      | 100075.3550    | 139610.3150    | 1.3951         | False
90  | 0.350      | 135261.4609    | 206098.6506    | 1.5237         | False
91  | 0.400      | 264978.4800    | 337854.2957    | 1.2750         | False
92  | 0.350      | 152434.4547    | 185109.7500    | 1.2144         | False
93  | 0.430      | 445993.4409    | 557723.4737    | 1.2505         | False
94  | 0.370      | 192615.6773    | 247748.9440    | 1.2862         | False
95  | 0.420      | 449052.5915    | 523626.8887    | 1.1661         | False
96  | 0.360      | 190852.5742    | 237135.7423    | 1.2425         | False
97  | 0.410      | 320783.9154    | 412010.3083    | 1.2844         | False
98  | 0.430      | 550589.3518    | 756203.4638    | 1.3734         | False
99  | 0.370      | 249157.0902    | 323751.9012    | 1.2994         | False
100 | 0.290      | 84031.4044     | 121948.4002    | 1.4512         | False
101 | 0.410      | 474990.4252    | 648830.0233    | 1.3660         | False
102 | 0.360      | 236028.1139    | 352132.6286    | 1.4919         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=8)
--------------------------------------------------------------------------------
2   | 2.000      | 44567.9676     | 13246.4631     | 0.2972         | True
3   | 1.740      | 216734.2513    | 24639.5603     | 0.1137         | True
4   | 1.010      | 4418.1757      | 1293.9701      | 0.2929         | True
5   | 0.520      | 1346.8772      | 740.8885       | 0.5501         | True
6   | 1.230      | 147593.4574    | 68080.3394     | 0.4613         | True
7   | 0.590      | 4503.5694      | 4031.2338      | 0.8951         | True
8   | 1.750      | 1.63342819e+07 | 2499374.9562   | 0.1530         | True
9   | 1.020      | 452455.2942    | 179112.8744    | 0.3959         | True
10  | 0.840      | 110171.2356    | 90459.1242     | 0.8211         | True
11  | 0.590      | 17688.4362     | 15762.6330     | 0.8911         | True
12  | 0.730      | 119344.6819    | 98432.7527     | 0.8248         | True
13  | 0.850      | 233186.9286    | 93408.4995     | 0.4006         | True
14  | 0.800      | 363297.4018    | 182242.1645    | 0.5016         | True
15  | 0.670      | 201423.1212    | 224212.1117    | 1.1131         | False
16  | 0.540      | 65479.3737     | 54843.1348     | 0.8376         | True
17  | 0.780      | 993634.8353    | 560620.7409    | 0.5642         | True
18  | 1.110      | 6739754.4671   | 3318333.2798   | 0.4924         | True
19  | 0.520      | 89456.2065     | 86116.9721     | 0.9627         | True
20  | 0.530      | 72315.9124     | 68704.9309     | 0.9501         | True
21  | 0.190      | 1179.9470      | 1570.6534      | 1.3311         | False
22  | 0.470      | 46988.7632     | 47481.7854     | 1.0105         | False
23  | 0.480      | 71290.4744     | 63850.1688     | 0.8956         | True
24  | 0.180      | 1696.4925      | 2140.9667      | 1.2620         | False
25  | 0.700      | 1098755.1039   | 1013644.6859   | 0.9225         | True
26  | 0.590      | 436528.5656    | 452977.5032    | 1.0377         | False
27  | 0.300      | 14656.4553     | 14921.2601     | 1.0181         | False
28  | 0.180      | 1718.7784      | 2595.2321      | 1.5099         | False
29  | 0.470      | 115818.4596    | 115360.0903    | 0.9960         | True
30  | 0.630      | 1305736.0847   | 796220.5998    | 0.6098         | True
31  | 0.680      | 1627336.2110   | 1657080.4670   | 1.0183         | False
32  | 0.560      | 589360.5866    | 623670.7684    | 1.0582         | False
33  | 0.520      | 292368.9136    | 331869.6300    | 1.1351         | False
34  | 0.560      | 541289.7756    | 384071.7958    | 0.7095         | True
35  | 0.540      | 344329.3301    | 342902.5607    | 0.9959         | True
36  | 0.600      | 998660.4069    | 1108187.0278   | 1.1097         | False
37  | 0.460      | 180314.8766    | 198484.6365    | 1.1008         | False
38  | 0.220      | 8572.2159      | 10984.2719     | 1.2814         | False
39  | 0.520      | 594953.7077    | 558048.0388    | 0.9380         | True
40  | 0.560      | 894908.8486    | 902655.4545    | 1.0087         | False
41  | 0.440      | 224359.2096    | 242952.6081    | 1.0829         | False
42  | 0.490      | 607608.2546    | 676597.3880    | 1.1135         | False
43  | 0.510      | 763117.1855    | 808781.0924    | 1.0598         | False
44  | 0.600      | 1938218.5793   | 1432472.3328   | 0.7391         | True
45  | 0.560      | 1481518.1697   | 1582621.8494   | 1.0682         | False
46  | 0.550      | 1044096.8443   | 1009339.3391   | 0.9667         | True
47  | 0.210      | 10653.3755     | 13748.0893     | 1.2905         | False
48  | 0.510      | 1160749.9405   | 805665.5502    | 0.6941         | True
49  | 0.500      | 1062661.5166   | 1160332.0328   | 1.0919         | False
50  | 0.510      | 863504.5423    | 1142061.8094   | 1.3226         | False
51  | 0.410      | 280349.0275    | 335426.7158    | 1.1965         | False
52  | 0.520      | 1215311.5771   | 1322793.3149   | 1.0884         | False
53  | 0.500      | 910647.1991    | 946306.8571    | 1.0392         | False
54  | 0.360      | 199337.7203    | 249958.7766    | 1.2539         | False
55  | 0.440      | 480541.6555    | 571474.3540    | 1.1892         | False
56  | 0.420      | 568228.2063    | 713222.1823    | 1.2552         | False
57  | 0.510      | 1865102.5961   | 1403108.0635   | 0.7523         | True
58  | 0.450      | 818802.0648    | 1046919.8877   | 1.2786         | False
59  | 0.520      | 1699891.7396   | 2168527.5498   | 1.2757         | False
60  | 0.460      | 1014765.3497   | 860694.0818    | 0.8482         | True
61  | 0.430      | 569481.7482    | 579764.6013    | 1.0181         | False
62  | 0.430      | 667487.4186    | 958558.0701    | 1.4361         | False
63  | 0.500      | 1579270.6667   | 1968069.0533   | 1.2462         | False
64  | 0.490      | 1413778.5322   | 1536910.6464   | 1.0871         | False
65  | 0.460      | 978485.1328    | 1099224.6212   | 1.1234         | False
66  | 0.430      | 933399.1939    | 1251211.3903   | 1.3405         | False
67  | 0.530      | 2942641.0047   | 2870983.2083   | 0.9756         | True
68  | 0.580      | 4246897.3432   | 3906827.4694   | 0.9199         | True
69  | 0.460      | 1211238.9702   | 1385550.5254   | 1.1439         | False
70  | 0.260      | 58623.7809     | 85517.3309     | 1.4587         | False
71  | 0.360      | 272602.4139    | 330719.6040    | 1.2132         | False
72  | 0.440      | 903413.3311    | 1276756.8616   | 1.4133         | False
73  | 0.380      | 427121.5836    | 559705.4838    | 1.3104         | False
74  | 0.560      | 5759665.6952   | 5675370.3040   | 0.9854         | True
75  | 0.680      | 2.46464625e+07 | 1.59465001e+07 | 0.6470         | True
76  | 0.420      | 783407.6050    | 899535.7577    | 1.1482         | False
77  | 0.310      | 160535.6681    | 232343.8702    | 1.4473         | False
78  | 0.230      | 41904.8333     | 65165.9212     | 1.5551         | False
79  | 0.330      | 236513.4800    | 307648.6879    | 1.3008         | False
80  | 0.340      | 300375.3332    | 376191.4752    | 1.2524         | False
81  | 0.450      | 1895079.3722   | 1890633.0885   | 0.9977         | True
82  | 0.540      | 9089336.1348   | 1.06879142e+07 | 1.1759         | False
83  | 0.550      | 5409211.4729   | 6142243.5469   | 1.1355         | False
84  | 0.350      | 364138.7992    | 540345.2460    | 1.4839         | False
85  | 0.260      | 81101.8089     | 131129.1482    | 1.6168         | False
86  | 0.540      | 8283101.8940   | 5980587.3279   | 0.7220         | True
87  | 0.400      | 850825.5859    | 1078793.1173   | 1.2679         | False
88  | 0.550      | 8438033.9170   | 8663727.2381   | 1.0267         | False
89  | 0.330      | 369532.6097    | 503542.5054    | 1.3626         | False
90  | 0.370      | 583062.2857    | 854168.1493    | 1.4650         | False
91  | 0.420      | 1215915.9778   | 1487714.7584   | 1.2235         | False
92  | 0.360      | 580890.2636    | 675938.7708    | 1.1636         | False
93  | 0.460      | 2472856.1314   | 2953989.0844   | 1.1946         | False
94  | 0.380      | 742717.2150    | 903922.5127    | 1.2170         | False
95  | 0.430      | 2007531.3803   | 2195251.4753   | 1.0935         | False
96  | 0.360      | 626426.5751    | 749865.3747    | 1.1971         | False
97  | 0.440      | 1724673.4867   | 2062917.9442   | 1.1961         | False
98  | 0.460      | 3329463.8574   | 4424910.0111   | 1.3290         | False
99  | 0.390      | 1168213.0709   | 1446198.6313   | 1.2380         | False
100 | 0.250      | 116435.8999    | 169154.2090    | 1.4528         | False
101 | 0.430      | 2512713.6827   | 3337640.6949   | 1.3283         | False
102 | 0.390      | 1310552.2492   | 1845116.6565   | 1.4079         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=9)
--------------------------------------------------------------------------------
2   | 2.000      | 154343.8857    | 43054.6134     | 0.2790         | True
3   | 1.840      | 1422751.6890   | 112414.8533    | 0.0790         | True
4   | 1.050      | 13183.6603     | 3193.3641      | 0.2422         | True
5   | 0.420      | 1092.9441      | 605.1797       | 0.5537         | True
6   | 1.340      | 990748.5863    | 416836.3856    | 0.4207         | True
7   | 0.600      | 11045.7584     | 9862.2532      | 0.8929         | True
8   | 1.810      | 1.60144957e+08 | 1.65544927e+07 | 0.1034         | True
9   | 1.100      | 3383971.8118   | 1166005.4223   | 0.3446         | True
10  | 0.900      | 596327.1339    | 478392.2230    | 0.8022         | True
11  | 0.590      | 47032.0191     | 41512.1074     | 0.8826         | True
12  | 0.810      | 843587.8538    | 644115.7231    | 0.7635         | True
13  | 0.890      | 1241199.8599   | 396073.6615    | 0.3191         | True
14  | 0.820      | 1730583.2627   | 763588.9227    | 0.4412         | True
15  | 0.710      | 1070625.0357   | 1186385.1951   | 1.1081         | False
16  | 0.410      | 41408.1054     | 34779.7969     | 0.8399         | True
17  | 0.840      | 7604470.3837   | 3770653.6051   | 0.4958         | True
18  | 1.240      | 9.41681085e+07 | 3.56282801e+07 | 0.3783         | True
19  | 0.490      | 201741.5200    | 193697.0730    | 0.9601         | True
20  | 0.520      | 190063.4824    | 178183.5196    | 0.9375         | True
21  | 0.160      | 1105.4010      | 1475.2572      | 1.3346         | False
22  | 0.400      | 52535.9881     | 53137.5521     | 1.0115         | False
23  | 0.500      | 274027.9926    | 238848.8153    | 0.8716         | True
24  | 0.150      | 1541.2206      | 1951.3404      | 1.2661         | False
25  | 0.710      | 5261851.0389   | 4796764.1925   | 0.9116         | True
26  | 0.600      | 1895521.7998   | 1922892.9925   | 1.0144         | False
27  | 0.240      | 11648.4709     | 11916.8434     | 1.0230         | False
28  | 0.150      | 1551.8229      | 2346.1831      | 1.5119         | False
29  | 0.460      | 322410.4888    | 316289.5373    | 0.9810         | True
30  | 0.690      | 1.13782978e+07 | 6212422.0516   | 0.5460         | True
31  | 0.720      | 1.07208633e+07 | 1.06348651e+07 | 0.9920         | True
32  | 0.590      | 3443127.2713   | 3591489.8692   | 1.0431         | False
33  | 0.550      | 1475616.9739   | 1635654.4935   | 1.1085         | False
34  | 0.590      | 2895887.0776   | 1803877.0557   | 0.6229         | True
35  | 0.560      | 1489852.6914   | 1420090.4240   | 0.9532         | True
36  | 0.640      | 6479271.6062   | 7045104.1097   | 1.0873         | False
37  | 0.480      | 737569.1242    | 773179.4255    | 1.0483         | False
38  | 0.180      | 7394.2793      | 9523.1872      | 1.2879         | False
39  | 0.470      | 1163045.3668   | 1086700.9199   | 0.9344         | True
40  | 0.580      | 4450951.7863   | 4399055.8479   | 0.9883         | True
41  | 0.460      | 965830.4899    | 998876.1485    | 1.0342         | False
42  | 0.520      | 3454940.9498   | 3688783.9021   | 1.0677         | False
43  | 0.530      | 3882730.9209   | 4015367.8768   | 1.0342         | False
44  | 0.650      | 1.55320732e+07 | 9891868.3998   | 0.6369         | True
45  | 0.590      | 9202056.2049   | 9368365.1081   | 1.0181         | False
46  | 0.570      | 5465755.4539   | 5075863.6926   | 0.9287         | True
47  | 0.170      | 8879.6194      | 11557.7093     | 1.3016         | False
48  | 0.520      | 5597379.6378   | 3428717.4996   | 0.6126         | True
49  | 0.520      | 5949292.0784   | 6385532.3267   | 1.0733         | False
50  | 0.540      | 4696135.2854   | 6041105.6597   | 1.2864         | False
51  | 0.440      | 1480398.9047   | 1724289.6430   | 1.1647         | False
52  | 0.560      | 8404431.6820   | 8676957.8632   | 1.0324         | False
53  | 0.500      | 3441032.7338   | 3511763.9058   | 1.0206         | False
54  | 0.360      | 645556.2338    | 804309.1301    | 1.2459         | False
55  | 0.470      | 2662300.4102   | 2926401.4232   | 1.0992         | False
56  | 0.460      | 3960534.7439   | 4876300.2326   | 1.2312         | False
57  | 0.530      | 1.13039183e+07 | 7703437.8643   | 0.6815         | True
58  | 0.510      | 7578510.6363   | 9544012.1081   | 1.2594         | False
59  | 0.560      | 1.19068679e+07 | 1.45295703e+07 | 1.2203         | False
60  | 0.480      | 5444101.7218   | 4341350.6158   | 0.7974         | True
61  | 0.440      | 2387317.3062   | 2328592.6032   | 0.9754         | True
62  | 0.460      | 3790491.8839   | 5313689.3443   | 1.4018         | False
63  | 0.540      | 1.12721977e+07 | 1.36332959e+07 | 1.2095         | False
64  | 0.510      | 7479520.6583   | 7906196.0049   | 1.0570         | False
65  | 0.480      | 4985786.7073   | 5215791.2598   | 1.0461         | False
66  | 0.450      | 5017037.2355   | 6603108.7894   | 1.3161         | False
67  | 0.560      | 2.00234997e+07 | 1.83947520e+07 | 0.9187         | True
68  | 0.620      | 3.27462389e+07 | 2.65067215e+07 | 0.8095         | True
69  | 0.480      | 6304563.3404   | 7062392.6842   | 1.1202         | False
70  | 0.220      | 61873.5356     | 90455.1106     | 1.4619         | False
71  | 0.360      | 827771.3470    | 987869.8028    | 1.1934         | False
72  | 0.470      | 5138193.3754   | 6979552.4437   | 1.3584         | False
73  | 0.390      | 1652329.9523   | 2131755.2421   | 1.2902         | False
74  | 0.590      | 4.27387634e+07 | 3.98010019e+07 | 0.9313         | True
75  | 0.750      | 3.22572254e+08 | 1.67385851e+08 | 0.5189         | True
76  | 0.440      | 3841007.2720   | 4234030.1513   | 1.1023         | False
77  | 0.320      | 557756.5263    | 795145.5380    | 1.4256         | False
78  | 0.190      | 38910.9039     | 60691.1940     | 1.5597         | False
79  | 0.340      | 829678.2292    | 1054663.2764   | 1.2712         | False
80  | 0.350      | 1148610.3814   | 1364512.1027   | 1.1880         | False
81  | 0.480      | 1.23480683e+07 | 1.09481432e+07 | 0.8866         | True
82  | 0.600      | 1.10265324e+08 | 1.23580113e+08 | 1.1208         | False
83  | 0.600      | 4.96509162e+07 | 4.89489767e+07 | 0.9859         | True
84  | 0.370      | 1636596.7018   | 2377228.3287   | 1.4525         | False
85  | 0.220      | 86183.5047     | 139441.7503    | 1.6180         | False
86  | 0.570      | 6.43670513e+07 | 4.03576687e+07 | 0.6270         | True
87  | 0.420      | 4305604.8895   | 5208220.7559   | 1.2096         | False
88  | 0.600      | 7.91135364e+07 | 7.74367365e+07 | 0.9788         | True
89  | 0.340      | 1485546.2974   | 1987379.0508   | 1.3378         | False
90  | 0.400      | 3312847.5929   | 4647713.3178   | 1.4029         | False
91  | 0.450      | 7131312.0236   | 8401907.0570   | 1.1782         | False
92  | 0.360      | 2005604.0325   | 2262164.6488   | 1.1279         | False
93  | 0.490      | 1.52939718e+07 | 1.74971865e+07 | 1.1441         | False
